Label,Sample_WT_P_1,Sample_WT_S_2,Sample_WT_P_3,Sample_WT_S_4,Sample_WT_P_5,Sample_WT_S_6,Sample_MU_P_7,Sample_MU_S_8,Sample_MU_P_9,Sample_MU_S_10,Sample_MU_P_11,Sample_MU_S_12
273.2/3676,72468.75,77849.25,15664.95,22812.97,27374.41,17733.22,55768.11,175747.53,98732.34,47308.67,55171.89,12074.28
279/2791,16540436,12335892,14683488,9660238,11775210,10293898,18747984,12952090,11584736,10705576,10839870,11984044
280/2791,2942033,2199152,2579250,1711820,2118032,1824954,3302721,2292925,2051177,1865185,1991724,2114478
281.1/2791,403697.8,114235.7,364608.3,113534.5,300199.9,269089.6,476559.3,315518.1,286027.5,266741.4,283748.9,295382.8
281.2/3668,2772937,2553705,2531424,1521876,1061127,1272521,2219966,3271118,2267970,1798533,1370601,1189253
282.2/3470,745727.2,4632131.5,772077.8,949999.7,223656.2,127801.9,609642.5,863350.2,1100345.8,419170.9,547838,265745.8
282.2/3669,695800.8,678927.3,601572.4,355604.6,252629,305437.3,540116.7,792999.5,534836.4,400417.1,321763.1,260891.6
283.2/3883,414367.6,880918,1102490.2,485863.6,488737.8,479697.7,228069.1,2341040,806746.6,671217.8,573786.6,479045.1
283.1/3651,634718.21,713218.14,349148.7,189651.83,185318.32,109678.22,623568.34,269530.75,39600.86,101396.39,103582.53,141345.56
284.1/2720,733321.8,939243.9,650687,550520.8,432174.1,524801.3,878794.6,779270.2,573395.6,577530.2,400051.3,576682.2
284.2/3697,715122.1,4301240.3,388586,177969.8,128552.3,271790.1,594958.9,712510.8,319373.9,179535.8,308228.7,232580
286.2/3260,1557473.4,1463433.9,1485022.4,1084076.9,1181006.7,894860.4,1668944.4,1362196.3,1305651.2,1203023.6,1153278.6,1195802.4
287.1/3261,381592.9,383820.6,388006.1,232122.1,300519.1,160367.1,471955.3,357491.4,327052.1,302366.6,409668.8,313713.6
288.1/2798,233984.2,295667.6,323173.5,286756.3,318510.6,401680.3,988202.9,183641.7,639029.4,395495.1,544135.3,1734884.9
289.1/3116,306747.8,290552.8,240938,206526.5,187249.3,230682.6,349864.3,211289.4,225114.3,166132.6,184197.1,230758.6
289.1/2720,331377.6,323543.5,191407.1,103652.3,163085.6,130976,367248.4,247406.8,148823.8,101861.3,132590.4,337823.9
291.2/3671,158999.1,137984.67,111560.76,60582.21,46302.24,50508.14,85006.04,162097.99,80209.66,66971.97,61585.68,49902.21
294.1/2583,40056.23,71533.46,54070.16,57688.55,38616.4,64823.25,53438.05,76577.43,71824.82,49769.71,48392.56,56368.17
296.1/2727,136683.81,202807.79,172459.05,134822.01,84668.49,84544.56,180084.75,102759.47,149853.35,126363.64,86857.5,96876.32
298.2/3186,180780.82,204735.29,191015.91,190626.85,160372.72,220288.62,17272.16,41352.2,50778.03,79595.27,52418.15,51716.96
300.2/3392,4534353.6,4980914.5,5290739.1,4564262.9,4733236.1,3931592.6,349660.9,491793.2,645526.7,634108.8,1438254.4,1364627.8
301/2792,2739847,1732888,2330865,1185810,1908463,1339885,2844473,1716199,1636414,1250314,1576059,1336836
301.2/3389,962353.43,1047934.14,1109303.04,946943.39,984787.2,806171.47,75481.75,115602.42,143078.06,130608.93,213514.19,291392.97
302/2624,643996.2,790351.6,444524,385833.8,399591.8,454476.3,667080.7,653312.4,343121.4,327247.2,424152.2,504934.2
302/2791,494305.8,319649.9,450510.3,212202,350812,251603.3,525006.3,305139,301177.1,171962.5,274759.2,263387.9
304.1/2925,1948206,1198309,1243866,1045969,1419172,1626957,1675020,1672881,1125530,1313724,1820963,1501736
305.1/2927,994373.8,888256.4,1063314.7,1096130.2,1246073.7,1214950,1681341.9,1149447.6,810315.7,859584.5,2251478.2,1721307.3
305.1/3504,557848.3,990038.1,1523254.3,748182.7,643288.3,635215.3,1196709,1030918.1,1237490.8,708628.8,498231.5,585316.9
306.1/2928,215368.1,409645,246498.8,247480,265343.1,270333.7,362282.2,292946.1,193570.5,186106,467150.9,374561.4
306.1/3504,125473.85,218249.83,337795.68,159274.08,153809.55,139507.23,266504.79,212509.62,272840.24,154863.77,40561.34,88881.56
307/2625,349067.12,420085.79,226991.3,115324.02,197855.36,175941.34,338093.36,319222.44,184048.87,82136.95,184966.14,181595.76
308.1/3260,312927.9,1931395.4,246074.5,237549.2,146736,114054.5,209238.9,355568,145089.1,121585,247134.9,123431.6
309.1/2924,820897.8,409310.4,490685.2,258387.3,570486.9,448465.4,655900.7,535264.5,450819.8,323317.1,621911.1,366731.3
309.2/3670,474829.72,357127.85,375113.82,191867.83,83873.05,142394.68,406958.04,499268.32,311566.8,223811.97,144582.6,127929.22
310.2/3634,192388.21,232015.94,197712.64,105269.19,131799.35,128400.29,272303.46,161525.21,115395.66,104696.16,100447.71,92830.57
312.1/2999,293193.9,263174.5,296169.4,158153.8,243862.6,264121.3,241411.9,288181.9,230302.3,149743.8,192635.9,211505.8
312.2/3868,219733.4,458436.96,176647.37,86923.42,73956.68,71891.88,205753.02,219341.95,129558.9,100029.64,80471.47,81820.56
313/2788,1704155.4,6856948.4,897619.3,1642799.4,806366.8,307398.4,915830.6,4877628,7685169,4134979.8,4114991.6,760122.8
313.2/3291,1225817.5,1075845,862661.6,530671.4,462568.7,469316.8,1230795.8,1269568.8,750402.9,564428,509199.4,457307.1
314/2788,388253.14,1499485.01,171070.66,390983.01,178926.45,45282.97,165809.82,1015506.87,1678104.7,925856.84,823072.93,162686.44
314.2/3289,292071.25,242072.32,231155.25,168158.75,107759.09,113067.99,324236.7,286295.08,198117.64,179361.82,86436.51,114211.55
315/2524,103665.24,90376.24,3525288.08,5071743.22,3617315.62,723199.47,100738.96,100434.21,4208773.83,2914424.79,5453768.79,1544977.3
316/2524,16394.42,28069.09,719323.36,1097369.93,795085.55,179512.96,25247.34,25076.86,883721.25,636243.2,1163245.11,380126.45
316.2/3088,107994.28,120804.48,67253.01,81778.46,83403.21,159768.61,1363190.24,71427.67,302041.1,198404.03,172667.19,1081830.44
317/2792,554864.61,154072.69,355561.33,105294.83,127762.97,109807.66,623123.97,204779.97,285929.72,105071.74,77221.77,131194.8
318.1/3248,76370.15,91030.37,99212.97,127139.67,94649.74,113150.39,135419.08,121177.39,90519.6,98147.55,72781.63,147843.71
321.2/3667,297015.32,282316.24,323305.09,38719.58,96046.9,75252.1,102256.94,422866.37,293428.12,200103.61,117510.87,67774.07
322.1/3504,648546.1,1058978.5,1722624.6,1324834.4,650881.5,937782.2,1401260.8,1450700.4,1509039.6,1351949.2,536634.5,904041.9
322.1/3392,238208.46,272654.01,378948.17,273593.95,247266.87,96194.27,14480.14,20632.36,19562.89,29375.33,19970.18,20741.01
323.1/3505,158127.9,277326.4,397502.9,307340,155371.4,230601.3,323742.5,330337.9,354443.4,313828.3,136403.9,222893.9
324.1/2792,339832,284679.8,341633.1,178500.4,264128.2,283695.3,455424.6,379752.3,303409.4,224206.9,256622.6,303097.3
324.2/3276,221263.21,388214.93,186860.98,162564.38,148367.97,182694.97,27881.28,50017.38,26693.48,16281.22,26765.12,20520.95
326.2/3415,4809521.4,3931304.6,2913711.5,2819100.9,3284987.3,4346409.7,259229.3,314154.3,161900.6,200939.7,247976.9,237853.6
327.1/3504,190747.1,275564.8,465617.9,263114.6,185070.3,202417.7,356507.7,296447.4,416275.2,248424,125002.2,184970.5
327.2/3418,1108851.28,950126.53,674222.71,677091.27,772290.31,1013977.91,70565.56,64944.45,61513.09,52472.57,64968.08,73942.7
328.2/3633,6463382.9,5630552.4,4398403.5,3085430.4,3289888,2626186.4,402409,573880.8,403748.6,412858.2,385802.4,297208.5
329.1/3499,325363.8,367926.8,409585.1,291867.4,259407.7,211961.2,432441.8,481405.6,382402.7,227057.8,187019.3,161229.4
329.2/3630,1521141.36,1315446.89,990625.77,707798.72,759301.22,605854.74,114347.57,148419.77,98738.38,101505.6,89072.31,67837.15
330.2/3631,201588.7,167042.48,143015.85,105447.72,92547.86,95737.38,18898.01,39186.23,13722.87,25405.73,21065.96,16708.2
330.1/3500,94656.81,102329.74,112024.98,68697.48,52884.48,54455.16,124849.44,125403.43,103233.32,65765.35,28581.38,50653.05
331.1/3497,466357.2,490815.3,438999.4,372787,320962.9,307401,600145.6,402078.2,301914,414769.7,312639.5,388149.2
332/2523,72668.45,176007.73,4658831.11,7614619.51,4486091.85,1136008.96,94505.77,149135.83,5672069.08,4752615.7,7203558.87,2631198.28
333/2523,31913.97,40302.33,927289.22,1587224.13,933164.79,253220.2,41150.36,57876.85,1187460.47,947074.13,1580626.58,544591.99
334/2524,13976.57,36178.71,208246.33,345968.56,259924.87,49142.17,18610.39,22136.34,268288.09,203024.94,396380.46,103730.32
335/2788,382769.56,1344842.91,190478.18,255464.74,163243.31,47415.13,215083.93,843755.31,1435113.4,591752.31,763566.36,130790.9
335.2/2998,71757.92,407360.89,40837.04,41310.95,40345.44,74448.95,64995.37,115959.25,74436.72,45663.59,51022.44,51228.71
336/2787,73353.49,294165.22,31495.31,50504.62,27344.32,9597.55,11555.79,187153.94,317781.23,144038.6,171719.09,20794.1
336.2/3695,36052.19,664589.33,419444.23,209776.5,33345.16,27260.35,22550.03,55684.68,290423.95,220986.22,42592.07,28698.87
337/2523,149462.1,262507.7,4073677.5,4153687.2,4365319.8,1023976.6,178520.1,214030,4694317,2645818.7,6391595.6,1862776.4
338/2515,54144.14,70322.97,795295.07,868056.23,870134.05,218742.59,39522.81,53272.75,937418.3,557510.15,1164693.07,381923
338.1/3024,396319.8,441040.5,411133.6,212310.1,341346.3,356067.8,364577.3,358070.4,360865.9,214432.2,438100.8,354304.1
338.2/3668,614212.5,605655,622113.9,335737.5,364966.7,356312.8,557322.1,641973.1,476072.6,342120.3,339368.2,328142.9
338.2/3836,88852.95,711015.5,244913.81,154551.07,121607.44,70912,119753.76,408664.1,254368.11,132151.49,420930.15,120842.71
339.2/3321,3474207,3533684,3243829,2482697,2321804,2311413,3467092,3924277,3301295,2476099,2415701,2138855
340.2/3321,954019.8,853736.4,883064.7,843098.7,330402.1,591805.5,954993,936253.5,885705.2,816396.6,531026.7,543389.8
343/2686,20269362,21948623,17930720,15378115,15793756,17800198,22065407,17773756,14333258,13440375,15108077,18737046
343/2599,2472386.9,2933970.4,1643088.1,1221113.2,1421930.6,1962811.8,2741281.9,2378377.5,1121674.7,300731.6,1448739.3,2022329.7
344/2686,4426345,4808488,3954887,3374426,3500475,3862062,4933535,3982326,3276619,2910183,3298613,4092028
344.1/2912,67577.44,781070.55,669103.34,621011.55,548931.57,475386.24,133970.59,706044.22,695608.33,623623.09,619525.6,532428.84
345/2686,703795.4,744691.6,602322.9,508404.4,553315.8,600422.5,763241.9,611646.4,486979.6,458777.1,524993.4,644033.3
346.1/3499,732502,890001.4,917425.2,952137.5,472769.8,562731.6,994786.2,1435435.9,879991.7,751993.2,355132.5,466886.4
347.1/3499,202822.2,236859.6,240054.7,247355.6,134452.9,150277.5,271151.1,381682.1,238818.8,207879.8,101642.1,131435
348.2/3496,221323.8,202071.2,204324.2,187851.6,128782.9,140879.9,284864.7,223959.3,150425.6,215002.2,121967.8,176025.3
348.2/3288,165830.9,183665.01,150845,134637.12,136452.46,167008.05,23872,16600.66,19190.76,12285.99,11045.67,19173.95
349.1/3409,146310.31,38794.27,40485.14,67493.95,110555.89,114025.2,43076.88,14918.34,16876.77,18373.46,36685.97,29097.7
350.2/3648,282937.26,162340.26,24255.71,181736.72,240243.93,89835.7,25888.43,316760.7,175073.79,113665.26,47550.57,35219.51
351.1/3499,185786.69,191451.15,234594.07,186672.36,120076.85,105565.09,216720.88,242060.91,205668.51,119396.87,88486.82,66543.8
352.1/2791,265883,181651.1,227777.6,145930.5,116138.7,128637.7,269970.6,204617.5,251136.4,138909.8,146512.8,125350.2
352.2/3494,165714.37,354074.63,161146.28,76533.22,48234.38,77757.67,50434.55,42936.05,36275.11,20003.29,32936.41,15264.59
352.9/2514,30491.24,67793.63,586587.08,557009.51,326683.49,85987.83,29782.33,48081.6,879668.68,325257.81,213709.03,166049.65
353.1/3497,223895,261258.6,205854.4,124798.5,128120.9,106673.1,245539.8,159550.2,120134.5,127073.7,114163.6,108293
354.1/2790,133044.73,99236.44,124984.14,97203.93,232692.03,214141.86,108255.96,125182.79,173901.32,47621.19,289194.45,211433.07
354.2/3618,1135610.95,904522.36,832780.32,532867.71,570306.9,729939.97,112167.16,154475.67,51277.22,92434.72,73763.23,65837.6
355.2/3618,334039.86,257216.86,222655.68,126090.44,154979.58,218179.86,16572.83,139505.41,19111.51,131022.09,4396.63,31744.26
356.2/3835,1189376.1,2242782.4,1535138.3,932580.3,1206594.8,823710,181130.1,521478.3,258986.3,237847,197582.4,246931.9
357.2/3835,328565.95,567776.99,391437.16,254805.16,305032.23,218120.8,44681.55,148383.91,43793.88,52168.12,55474.29,62238.68
357.2/3472,107080.85,80568.51,343171.05,189441.57,26912.91,29974.61,368090.33,270155.75,220815.64,123087.81,24633.37,9303.61
358.9/2917,0,3555647,4250967,2535026,0,0,0,0,1117122,0,0,0
359.2/3722,462141.4,616424.6,407618.3,285184.5,437009.2,413134.3,370926,771634.2,272933.1,446149.1,382811.8,521506.3
360/2690,9748524,10851569,8797145,8702183,7372829,9376845,10710925,9496878,7457844,8053175,7425235,9956697
360.9/2917,0,2721897.58,2969929.07,3456162.66,0,1577.92,0,0,889552.01,38687.78,4051.25,0
361.1/3169,1170645.2,1498158.5,1046203.5,737098.3,690755.3,687633.8,1152980,1279489.6,974223.5,778375.5,696882.7,648550.7
361.1/2690,2206508,2560830,2364089,2322160,1625820,2088472,2461532,2144659,1938518,1912070,1753051,2204021
361.9/2918,0,1907483.89,1810216.51,1020656.77,0,0,0,0,663489.73,18474.76,1691.24,0
362.1/2689,770409.3,934352.6,641678.3,632941.4,600784.4,605451.1,704809.5,658928.8,491933.7,514541.9,568139.9,586544.9
362.1/3167,312079.2,357256.68,307965.84,216443.61,78704.02,244520.04,292404.16,364509.21,296741.99,251609.31,211656.2,217405.32
363.2/3261,405917.6,390905.1,306254.5,189293.2,178701.9,165307.2,430759.6,485668.1,269878.8,208853.8,184987.7,169349.6
364.2/3732,382350.36,233404.08,217897.2,100901.67,187667.24,160307.88,371077.15,308697.82,155474.93,125466.05,70220.72,51863.03
365/2687,12540962,13086927,11725805,7176350,9905616,8655443,13169758,10032806,8963502,6327210,8737741,8426677
365.2/3395,372091.9,358191.5,358265.6,208369.3,167813.2,165509.4,381820.1,455203.6,317859,218376.9,178224.8,149862.2
366/2687,2864112,2952706,2484968,1546877,2118036,1929729,2914143,2259649,2003961,1404628,1879525,1802966
366.1/2792,652282.6,553363.2,747021.7,818030.9,942350.7,771054,722235.7,532891.2,702447.9,868236.7,810665.2,884880.7
366.2/3847,428862.9,545334.1,416711.8,278174.1,281201.2,231210,544398.8,466799.5,386455.2,318069.3,279764.5,249253.4
367.2/3529,2734571,2693665,2455930,1617637,1607496,1598232,2784615,3238646,2423942,1712150,1657051,1517655
368.2/3529,841651.1,730786.3,636622.7,457324.6,441341.2,438156.5,866902.6,887056.3,637453.7,466717,436644.2,401560
371.2/3641,501808.2,378297.5,196485,152106.1,126154.3,143317.1,529104.6,342909.7,261951.7,119734.3,145779.5,177725.5
372.2/3293,66372.85,5201100.8,3894763.17,3037266.14,2934672.47,2365565.98,60133.59,3457744.21,3646832.88,3227975.37,97918.92,2606604.1
373.2/3272,37744.51,1170804.48,1009312.48,739726.51,703978.48,575113.41,18144.85,822775.28,845697.31,789026.46,825939.57,105370.37
376.2/3717,162499.44,219938.41,106022.13,131973.33,141468.11,148533.85,115815.28,322572.68,57601.66,165280.88,122884.36,193350.13
376.2/3459,185802.72,178779.59,140389.6,95461.79,48576.78,88793.55,19290.12,22762.48,13692.93,10724.89,10917.13,4658.33
377/3076,94719.83,125213.21,94550.81,27467.9,85111.62,66383.24,92796.51,92967.26,65916.89,11112.73,37445.86,45675.83
379.1/3331,606273.9,1073198.8,1271171.5,1839451.7,1075704.4,1466693.7,798946.4,777467.4,1171788.1,1529429.3,740580.9,1523458.6
380.1/3154,308623.6,1911798.7,1717570.3,1756725.2,1765811.5,2609852.5,1074832.2,1434540.8,1563407.5,1610769,1355144.3,2022633.3
380.2/3330,161568.9,254387.7,333099.7,495773.8,128146.9,370387.3,113088.3,121021.3,320021.8,417616.4,187168.4,373949.8
381/2687,1822015,1040975.9,1053454.8,483098.8,377455.3,450273.3,1853495.1,759658.2,1313396,529203,492552.5,419422.6
381.1/3154,56748.6,412013.02,365480.26,390842.16,371351.68,398323.59,57218.66,314270.58,343710.96,333494.98,302289.93,445468.65
382.1/3246,352533.8,1242416.7,1084915.2,944606.2,846849.9,1212011.1,544489.3,1016638.7,920957.3,883904.5,794106.7,881742.6
382.2/3796,710639.9,580437.41,433480.22,286404.15,317220.06,323722.84,102300.92,94799.87,50195.71,36176.66,28169.72,17170.74
384.2/3993,1085362.52,637047.82,1532283.79,608698.8,334029.57,204841.84,196445.91,41865.39,151156.42,35403.74,29913.91,127434.99
385.1/3178,1137379.1,1228016.5,1151942.7,903258.9,877204,760969,1245689.6,1413865.6,1123948.8,896498.3,808884.3,856576.7
386.1/3178,325325.4,269560.6,312436.5,275222.6,159054.4,221569.4,345949.4,397554.8,313348.9,243353.2,186412.1,242389.5
388.1/2689,584497.9,573448.7,504735.4,358188.1,414383.8,260421.3,702064.7,752440.9,606807.8,372982.1,482003.2,364109.2
389.2/3353,1199783.3,1140158.6,1008374,673382.3,659322.3,724902.1,1231191.9,1357790.2,959959.1,677888.9,648895.6,642441.7
390.2/3353,348186.3,335515.3,282058.8,188020.9,181619,216997.5,345712.1,389364.8,279306,203101.1,194945.8,193556.4
391.1/3627,6899364,7039985,4933378,2162711,2159509,3583241,9246373,5176181,5942055,2106210,2644093,4596621
392.1/3627,1832399.7,1878963.4,1330574.6,610131.8,566598,973222.1,2482519.8,1410152.6,1584953.7,554438.3,709070.5,1209064.7
393.2/3630,399851.88,382029.02,273051.51,84918.84,64420.1,198823.77,431680.54,304225.77,328382.85,27873.94,114428.74,230953.76
395.2/3716,420647.6,421291,354284.2,106522.1,146232.1,158797.3,263984.7,702781.3,230011.7,186350.8,177711.3,156146.5
396.2/3331,212417.3,418476.3,493690.1,794110.4,372788.9,603055,289612.7,297155.8,428490.4,650558,264918.5,614589.6
397.2/3330,55424.85,99516.96,133878.12,210330.84,114604.59,162646.82,66261.74,68464.15,118164.48,185109.8,62903.27,183454
398.2/3330,20763.26,19312.91,108336.85,1376143.44,1441434.46,1130981.8,30154.96,2069349.49,1716650.13,1641655.03,1422532.59,1186504.84
398.3/4058,302032.71,199444.34,106172.73,56563.1,100635.11,92674.45,0,27666.6,14534.16,15245.66,0,2258.21
399.1/2800,517279.87,130172.78,264044.7,347198.38,91175.08,111866.25,541970,103373.51,287810.5,341704.69,178355.79,131298.84
400.1/2788,115111.59,229736.57,82562.72,165280.07,69892.01,29858.51,158828.07,187919.74,293209.88,303195.03,247167.67,69796.1
400.2/3607,41858.22,17891.91,252485.6,12036678.87,6745245.85,5488584.31,35225.38,21313.46,268745.94,10756761.96,7160707.13,5289514.72
401.1/3330,137774.56,168282.89,240788.11,363286.88,205112.03,58738.37,128217.61,74394.25,183700.71,210674.89,70957.08,284150.62
401.2/3601,105841.95,35661.74,58721.75,1439239.22,1834093.61,1589913.29,55278.47,67621.11,80004.05,2991281.27,1786746.13,1501862.29
401.2/3752,293894.9,701952.4,597310,280281,387217.3,343416.1,323630.5,3033005.6,4059629.3,619690.4,289693.5,343059.5
403.1/2950,93997,101980.89,111200.26,63836.34,76461.22,86898.24,109363.01,85233.29,65663.14,64602.23,67256.29,89870.06
404.1/2690,299182.05,215939.63,128681.34,38446.41,200954.04,322108.77,314592.25,255091.58,157515.35,22831.85,43244.68,22946.78
408.2/3444,108910.26,573379.77,853918.23,233681.46,63276.47,231425.98,268866.15,597722.61,751128.36,146992.38,90494.2,245023.81
408.1/2895,22876.78,1036989.35,105008.57,72294.9,30712.13,15356.56,16106.53,214166.18,54678.95,179523.51,565354.7,19730.16
410.3/3937,980012,1319875.6,1375015,949318.8,899985.6,799401.8,137450.6,203674.4,223544.9,162703.8,96805.7,113334.6
411.2/3937,304741.63,426745.77,437071.77,304811.06,285571.6,275335.28,66325.48,93226.87,86924.84,76948.16,56605.49,65848.03
412.3/4113,3412993.6,2118700.86,1679362.24,655969.6,781156.1,594736.34,486799.44,251226.79,170220.57,109350.49,69618.12,139796.49
413.1/3629,778922.2,855168.6,665025.1,120558.4,156926.7,327900.8,389790.5,788643.5,676852.9,156450.9,282687.1,330997.9
413.3/4113,991447.08,626592.41,495456.72,202687.29,230747.93,153659.53,151907.28,81420.93,55949.78,33079.8,25835.61,36367.74
414.2/3060,252452.21,352227.45,33040.77,125159.01,95257.97,276920.27,784648.34,192081.84,258999.62,40389.38,169402.11,640714.52
416.1/2688,439237.7,508248.3,418352.6,285253.5,279594.9,263207,470798,408737,322456.7,195945.3,278605.4,239773.3
420.2/3881,58653.53,219417.67,120918.03,159112.03,39443.7,26405.74,45296.14,107860.67,260905.97,202773.7,59680.5,62228.77
421.1/2801,156029.95,39740.43,67756.18,56574.43,30430.73,22681.97,140031.23,25874.25,92219.37,61164.29,41083.93,41870.38
423.1/3256,236249.55,255168.62,212710.78,180690.97,191746.74,152861.19,32174.22,16802.65,35056.41,26333.17,50863.45,38746.2
424.2/3424,24653.18,23365.5,46153.43,961030.38,1348980,586789.62,27649.8,5877.89,1673201.43,1562709.03,1547095.94,834756.6
426.1/3017,792979.2,843517.4,588996.1,282697.3,231451,120684.9,821819.4,919600.6,386864.4,295901.8,318466.8,237842.7
426.2/3638,30398.8,117747.44,486846.11,10283077.71,6937764.44,6091112.21,34617.57,11438600.3,11182703.1,8906813.73,7670588.81,4852718.31
427.2/3614,28211.02,28880.74,94582.19,1778212.08,1855249.2,1754074.86,13625.12,17567.05,96372.04,2456144.52,2210419.3,1393249.65
429.2/3887,580907.7,238723.3,574589.7,488037.3,1374609.1,1573595.5,775416.8,3609938.7,767394.6,1220814.2,1236769.3,1448950.8
429.2/4042,735571.9,381505.1,533925.6,464898,577865.1,530001.8,900888.4,508735.8,431114.8,194650.5,239813.7,430022.4
430.1/2688,1911680,2124744,2487771,3076213,2957369,3015874,2006604,1906551,2222893,2633887,2700540,3080688
430.2/3885,47916.15,61158.11,193756.39,138737.4,443495.88,536046.68,246396.73,1173060.45,263236.13,396414.5,422852.62,479482.66
430.2/4075,398260.32,278948.74,271827.72,144563.01,141065.36,149095.08,299915.34,68857.41,204156.77,94700.85,107525.54,114376.86
431.1/2688,559442.5,796036.9,718791.8,910517.6,844283.4,847285.7,589107.9,533617.5,603054.8,757021.3,838407.3,922359.4
433.2/3813,487331.8,518192.1,293162.4,264535.9,378265.5,178862.5,747277.2,303496.1,530128.9,235061.8,478209.6,555184.4
436.2/3629,375812.22,703821.22,258360.73,52292.75,93147.23,179091.59,383207.74,292975.83,292767.72,80397.46,136055.4,141475.38
438.2/3456,3472535,3562087,2785907,2003833,2084214,1943269,3299909,3440934,2944406,2185618,1841181,1891048
438.3/4056,1688005.87,886542.59,972109.14,509452.01,466565.58,477464.55,167854.08,83567.86,73254.52,61424.69,58544.45,65153.2
439.2/3457,865853.7,875625.3,662970.2,505118.5,516781.1,523444.6,812861,839775,727318.9,529271.4,474139.1,460491
